date,daily_points,cumulative_points
2023-04-14,132,6798.865139999999
2023-04-17,22,6820.865139999999
2023-04-18,-82.13488,6738.730259999999
2023-04-19,-94,6644.730259999999
2023-04-20,-47,6597.730259999999
2023-04-21,-117,6480.730259999999
2023-04-24,6,6486.730259999999
2023-04-25,-231,6255.730259999999
2023-04-26,-13,6242.730259999999
2023-04-27,50,6292.730259999999
2023-04-28,146,6438.730259999999
2023-05-02,63,6501.730259999999
2023-05-03,-86,6415.730259999999
2023-05-04,58,6473.730259999999
2023-05-05,35,6508.730259999999
2023-05-08,81,6589.730259999999
2023-05-09,13,6602.730259999999
2023-05-10,-126,6476.730259999999
2023-05-11,-91,6385.730259999999
2023-05-12,-13,6372.730259999999
2023-05-15,4,6376.730259999999
2023-05-16,176.87484,6553.6051
2023-05-17,246,6799.6051
2023-05-18,194,6993.6051
2023-05-19,58,7051.6051
2023-05-22,-12,7039.6051
2023-05-23,20,7059.6051
2023-05-24,-66,6993.6051
2023-05-25,136,7129.6051
2023-05-26,233,7362.6051
2023-05-29,140,7502.6051
2023-05-30,-5,7497.6051
2023-05-31,-85,7412.6051
2023-06-01,-19,7393.6051
2023-06-02,242,7635.6051
2023-06-05,-28,7607.6051
2023-06-06,63,7670.6051
2023-06-07,144,7814.6051
2023-06-08,-173,7641.6051
2023-06-09,169,7810.6051
2023-06-12,56,7866.6051
2023-06-13,276,8142.6051
2023-06-14,-19,8123.6051
2023-06-15,137,8260.6051
2023-06-16,-67,8193.6051
2023-06-19,-16,8177.605100000001
2023-06-20,-67.18048,8110.424620000001
2023-06-21,-9,8101.424620000001
2023-06-26,-123,7978.424620000001
2023-06-27,-138,7840.424620000001
2023-06-28,33,7873.424620000001
2023-06-29,-13,7860.424620000001
2023-06-30,25,7885.424620000001
2023-07-03,248,8133.424620000001
2023-07-04,68,8201.424620000002
2023-07-05,-98,8103.424620000002
2023-07-06,-316,7787.424620000002
2023-07-07,-65,7722.424620000002
2023-07-10,-71,7651.424620000002
2023-07-11,313,7964.424620000002
2023-07-12,56,8020.424620000002
2023-07-13,164,8184.424620000002
2023-07-14,205,8389.424620000002
2023-07-17,-4,8385.424620000002
2023-07-18,-70.1868,8315.237820000002
2023-07-19,-89,8226.237820000002
2023-07-20,45,8271.237820000002
2023-07-21,-179,8092.237820000002
2023-07-24,32,8124.237820000002
2023-07-25,203,8327.237820000002
2023-07-26,-82,8245.237820000002
2023-07-27,123,8368.237820000002
2023-07-28,39,8407.237820000002
2023-07-31,-159,8248.237820000002
2023-08-01,75,8323.237820000002
2023-08-02,-358,7965.237820000002
2023-08-04,3,7968.237820000002
2023-08-07,177,8145.237820000002
2023-08-08,-148,7997.237820000002
2023-08-09,1,7998.237820000002
2023-08-10,-197,7801.237820000002
2023-08-11,-31,7770.237820000002
2023-08-14,-248,7522.237820000002
2023-08-15,42.844,7565.081820000002
2023-08-16,-27,7538.081820000002
2023-08-17,83,7621.081820000002
2023-08-18,-103,7518.081820000002
2023-08-21,-5,7513.081820000002
2023-08-22,52,7565.081820000002
2023-08-23,158,7723.081820000002
2023-08-24,198,7921.081820000002
2023-08-25,-330,7591.081820000002
2023-08-28,66,7657.081820000002
2023-08-29,132,7789.081820000002
2023-08-30,99,7888.081820000002
